order_id,customer_name,customer_email,order_date,updated_at,status,currency,amount
ORD-108439,Joseph Martinez,joSEph.MartiNEz8769@ACme.teST,24 Nov 2025,2025-11-24T05:09:07Z,completed,USD,"$2,367.98"
ORD-104029,Björn Jones,bjorn.jones5543@mail.test,02/11/2026,2026-02-11T04:16:53Z,completed,USD,$706.58
ORD-108681,Mark Rodriguez,mark.rodriguez5520@example.com,03/19/2026,2026-03-19T13:33:50Z,pending,USD,996.77
ORD-103950,José Wilson,jose.wilson3267@example.com,01/13/2026,2026-01-13T15:27:14Z,shipped,USD,"2,034.89"
ORD-108634,Robert King,robert.king4626@mail.test,08/26/2025,2025-08-26T08:20:02Z,refunded,USD,-813.17
ORD-109422,Joseph Wilson,joseph.wilson4652@example.com,05 Mar 2026,2026-03-05T10:19:04Z,shipped,EUR,"1,256.93"
ORD-103241,Anthony Johnson,aNThOny.joHnSon2451@mail.Test,05 Feb 2026,2026-02-05T16:29:47Z,completed,USD,"$1,271.46"
ORD-103733,José Williams,jose.williams4552@example.com,2025-11-26,2025-11-26T07:15:55Z,pending,EUR,"2,279.58"
ORD-109739,Linda Lee,linda.lee6128@mail.test,2025-10-03,2025-10-03T16:51:14Z,completed,USD,259.62
ORD-103785,Renée Johnson,renee.johnson4740@mail.test,2026-02-06,2026-02-06T17:42:19Z,completed,USD,572.79
ORD-100778,Jennifer Nováková,jennifer.novakova6766@acme.test,2026-05-14,2026-05-14T01:17:55Z,refunded,USD,"-$1,112.20"
ORD-105936,Barbara Rodriguez,barbara.rodriguez8605@acme.test,2026-04-15,2026-04-15T07:08:44Z,completed,USD,"2,383.16"
ORD-107507,健太 Rodriguez,健太.rodriguez1472@example.com,05/18/2026,2026-05-18T14:40:41Z,completed,USD,$393.39
ORD-104786,美玲 Williams,美玲.williams4284@acme.test,20 Mar 2026,2026-03-20T23:10:10Z,pending,USD,2007.37
ORD-109507,Michael Moore,MIChaeL.mooRe3609@mail.TEst,13 Jan 2026,2026-01-13T07:13:56Z,pending,USD,204.13
ORD-105648,Élodie Jackson,elodie.jackson94@mail.test,2025-10-30,2025-10-30T10:07:24Z,cancelled,USD,2097.19
ORD-103602,美玲 Lewis,美玲.lewis6410@example.com,04/17/2026,2026-04-17T02:03:28Z,completed,EUR,685.94
ORD-101299,Patricia Walker,pATrIcIA.waLKEr3526@acme.TesT,2026-03-18,2026-03-18T07:44:51Z,pending,USD,"1,962.87"
ORD-102966,Nancy Müller,nancy.muller8074@example.com,04/19/2026,2026-04-19T00:59:14Z,refunded,EUR,"-1,278.84"
ORD-106536,Sandra Brown,sandra.brown7857@example.com,12 Feb 2026,2026-02-12T07:39:12Z,completed,EUR,534.73
ORD-104113,Daniel Rodriguez,daniel.rodriguez1881@example.com,23 Apr 2026,2026-04-23T09:49:40Z,pending,USD,1153.78
ORD-105981,Thomas Moore,thomas.moore1719@shop.example,2026-02-01,2026-02-01T21:50:54Z,completed,USD,215.72
ORD-102846,Sarah Williams,sarah.williams6105@acme.test,23 May 2026,2026-05-23T01:36:54Z,completed,USD,398.25
ORD-107151,健太 Clark,健太.clark9869@example.com,28 Jun 2026,2026-06-28T21:46:00Z,pending,USD,$80.87
ORD-109268,Joseph García,joseph.garcia3201@mail.test,20 May 2026,2026-05-20T12:21:28Z,cancelled,EUR,1182.23
ORD-106642,Thomas Rodriguez,thomas.rodriguez8348@mail.test,12/11/2025,2025-12-11T09:55:39Z,completed,USD,191.36
ORD-100665,Susan Davis,susan.davis1416@example.com,20 Jul 2025,2025-07-20T02:03:38Z,refunded,EUR,-1725.69
ORD-108009,Barbara Lee,barbara.lee7596@example.com,09/05/2025,2025-09-05T00:26:54Z,cancelled,USD,750.22
ORD-101092,Susan Garcia,susan.garcia421@example.com,11/27/2025,2025-11-27T17:10:20Z,completed,USD,1560.26
ORD-101524,Matthew Young,matthew.young9507@mail.test,2026-03-05,2026-03-05T10:47:40Z,completed,USD,915.78
ORD-106682,健太 García,健太.garcia332@acme.test,2025-10-15,2025-10-15T07:37:43Z,completed,EUR,2186.30
ORD-106221,Thomas Clark,thomas.clark3047@acme.test,2025-07-20,2025-07-20T09:06:10Z,shipped,EUR,"1,946.98"
ORD-102981,Mark Martinez,marK.MArTINez3651@acme.teST,2026-05-07,2026-05-07T18:36:57Z,completed,USD,2310.14
ORD-101555,Élodie Harris,ELodIe.Harris7700@ShOp.eXampLe,26 May 2026,2026-05-26T10:19:53Z,shipped,USD,"$2,288.69"
ORD-108434,Renée Martinez,renee.martinez9248@shop.example,2025-09-04,2025-09-04T23:34:11Z,pending,USD,782.94
ORD-101232,David Walker,david.walker6774@shop.example,2026-03-13,2026-03-13T22:14:18Z,completed,USD,"$2,469.18"
ORD-107637,Sandra Brown,sanDra.BrOWN8078@Shop.exampLe,06/25/2026,2026-06-25T20:01:26Z,shipped,USD,340.53
ORD-108806,William Johnson,william.johnson6616@acme.test,2025-10-02,2025-10-02T04:06:48Z,completed,USD,"1,189.67"
ORD-100925,Jessica Walker,jessica.walker3277@mail.test,07/02/2025,2025-07-02T12:49:12Z,completed,USD,43.16
ORD-105928,José Harris,jose.harris5455@shop.example,06/27/2026,2026-06-27T00:04:07Z,shipped,USD,"2,292.20"
ORD-109158,美玲 Hall,美玲.hall5789@mail.test,2025-07-01,2025-07-01T03:49:23Z,completed,USD,"1,502.81"
ORD-109409,Thomas Wilson,thomas.wilson1771@shop.example,2026-01-12,2026-01-12T03:59:49Z,completed,USD,"$1,079.06"
ORD-108256,Patricia Martinez,patricia.martinez499@mail.test,2025-12-26,2025-12-26T10:42:00Z,shipped,USD,2473.47
ORD-107011,James King,james.king7955@mail.test,2026-04-20,2026-04-20T10:23:21Z,completed,EUR,"1,012.20"
ORD-107427,William Martin,william.martin8771@mail.test,03/29/2026,2026-03-29T05:30:50Z,shipped,EUR,2219.24
ORD-106744,Mark Müller,mark.muller9817@acme.test,08/03/2025,2025-08-03T01:27:36Z,completed,USD,486.49
ORD-109325,Renée Garcia,renee.garcia2481@acme.test,08/21/2025,2025-08-21T03:28:51Z,completed,USD,741.72
ORD-107647,José Harris,jose.harris3661@mail.test,02/17/2026,2026-02-17T10:52:52Z,completed,USD,89.82
ORD-101600,Björn Clark,bjorn.clark8630@shop.example,2025-12-28,2025-12-28T15:16:36Z,completed,USD,"$1,883.42"
ORD-102947,Björn Håkonsen,bjorn.hakonsen9718@example.com,11 May 2026,2026-05-11T04:03:13Z,completed,USD,1898.40
ORD-103638,Robert Wilson,robert.wilson5197@acme.test,11 Jun 2026,2026-06-11T04:52:07Z,cancelled,USD,"$1,990.53"
ORD-101690,Nguyễn Müller,NguYễN.mUller279@shoP.eXAmpLe,14 Jul 2025,2025-07-14T06:15:26Z,pending,USD,2465.47
ORD-107423,Susan Jones,susan.jones2477@mail.test,2026-05-29,2026-05-29T17:56:48Z,completed,USD,292.74
ORD-102731,Nguyễn Taylor,nguyễn.taylor7659@example.com,2025-07-15,2025-07-15T06:17:11Z,completed,USD,"$1,289.56"
ORD-104380,David Martin,david.martin2@example.com,20 Mar 2026,2026-03-20T05:58:55Z,completed,USD,"1,004.47"
ORD-105782,美玲 Öztürk,美玲.ozturk5456@mail.test,27 Dec 2025,2025-12-27T14:36:50Z,pending,USD,1942.75
ORD-102432,Matthew Češka,matthew.češka4644@mail.test,18 Jun 2026,2026-06-18T19:24:22Z,refunded,USD,"$2,002.77"
ORD-102729,Élodie Williams,elodie.williams390@shop.example,01/20/2026,2026-01-20T22:21:55Z,pending,USD,$841.57
ORD-107130,Zoë Smith,Zoe.smith4375@shOP.EXamPLe,23 Sep 2025,2025-09-23T16:30:27Z,completed,USD,191.21
ORD-105738,Chris Håkonsen,chris.hakonsen7996@acme.test,02/01/2026,2026-02-01T20:34:56Z,completed,USD,"1,982.81"
ORD-102525,William Håkonsen,william.hakonsen4729@acme.test,11/01/2025,2025-11-01T23:08:37Z,shipped,USD,532.64
ORD-102866,Jennifer Williams,jennifer.williams3213@example.com,2025-10-10,2025-10-10T08:54:52Z,cancelled,EUR,681.85
ORD-106120,健太 Anderson,健太.anderson3866@mail.test,11/22/2025,2025-11-22T04:51:57Z,completed,USD,"$1,953.42"
ORD-105814,Mónica Davis,monica.davis6944@acme.test,01 Oct 2025,2025-10-01T15:40:49Z,completed,USD,457.99
ORD-108816,Betty Taylor,betty.taylor5658@mail.test,03 Mar 2026,2026-03-03T15:37:18Z,completed,USD,1079.64
ORD-107358,Thomas Johnson,ThoMaS.jOHNson6933@acME.test,28 Dec 2025,2025-12-28T04:05:10Z,pending,USD,996.37
ORD-103190,Renée Martin,renee.martin8108@acme.test,12/15/2025,2025-12-15T06:28:35Z,shipped,USD,41.94
ORD-101756,Lisa Smith,lisa.smith8833@shop.example,03 Sep 2025,2025-09-03T12:43:55Z,cancelled,USD,1805.26
ORD-107964,Renée Lewis,renee.lewis1771@acme.test,2025-11-28,2025-11-28T21:02:39Z,cancelled,USD,2051.53
ORD-108835,健太 Thompson,健太.thompson6278@shop.example,08/22/2025,2025-08-22T04:41:26Z,completed,USD,247.97
ORD-104644,Karen Jones,karen.jones8538@acme.test,2025-07-21,2025-07-21T07:15:32Z,completed,EUR,1344.29
ORD-105028,David King,david.king4044@shop.example,04/12/2026,2026-04-12T22:50:23Z,shipped,EUR,256.73
ORD-100592,Mark Jackson,mark.jackson6988@mail.test,2026-04-28,2026-04-28T20:43:14Z,cancelled,USD,868.20
ORD-109541,Patricia Öztürk,patricia.ozturk1048@acme.test,18 Dec 2025,2025-12-18T11:00:35Z,completed,USD,402.06
ORD-100234,Søren Thompson,soren.thompson1762@example.com,07/02/2025,2025-07-02T09:31:38Z,refunded,USD,"-$2,318.30"
ORD-103517,Susan Anderson,susan.anderson2651@example.com,03 Apr 2026,2026-04-03T02:06:23Z,completed,EUR,"1,606.93"
ORD-100932,Łukasz Davis,łukasz.davis3874@shop.example,23 Apr 2026,2026-04-23T00:14:01Z,pending,USD,"1,629.67"
ORD-101794,Mónica Jackson,monica.jackson4300@acme.test,24 Jan 2026,2026-01-24T00:56:05Z,completed,USD,1453.99
ORD-102201,Mary Lee,mary.lee7309@shop.example,09 Apr 2026,2026-04-09T02:09:46Z,pending,USD,477.63
ORD-108107,Chris Taylor,chris.taylor155@mail.test,2025-07-30,2025-07-30T17:22:26Z,completed,USD,1637.47
ORD-101482,Richard Moore,richard.moore700@mail.test,2026-02-10,2026-02-10T15:20:34Z,shipped,USD,2311.80
ORD-102207,Renée Martin,renee.martin8376@example.com,07/17/2025,2025-07-17T16:17:19Z,pending,USD,"$1,728.20"
ORD-104416,Patricia Martin,patricia.martin242@acme.test,24 Dec 2025,2025-12-24T17:52:15Z,completed,USD,"$1,517.43"
ORD-108411,François Brown,françois.brown4393@shop.example,2026-02-19,2026-02-19T23:53:40Z,refunded,EUR,"-1,299.65"
ORD-100143,Betty Smith,betty.smith8792@shop.example,05/13/2026,2026-05-13T17:23:05Z,refunded,EUR,971.22
ORD-104928,Mary Müller,MARy.MuLleR8013@ShoP.ExaMpLe,2026-01-01,2026-01-01T19:43:39Z,pending,USD,"2,093.83"
ORD-103047,James Davis,james.davis7331@shop.example,02/05/2026,2026-02-05T22:31:10Z,completed,USD,557.54
ORD-104865,François Martinez,françois.martinez4578@example.com,06/06/2026,2026-06-06T22:19:12Z,completed,USD,439.51
ORD-101031,Anthony Martin,anthony.martin7245@mail.test,04 Apr 2026,2026-04-04T23:47:44Z,completed,USD,"$1,529.79"
ORD-100453,Chris Češka,chris.češka1742@shop.example,2025-07-11,2025-07-11T11:53:40Z,completed,USD,373.17
ORD-100529,Elizabeth 陳,elizabeth.陳2894@example.com,2026-01-28,2026-01-28T12:12:09Z,completed,EUR,2346.65
ORD-105489,Nguyễn Garcia,nguyễn.garcia7115@mail.test,10 Jan 2026,2026-01-10T02:50:04Z,completed,USD,134.45
ORD-100872,Sarah Taylor,sarah.taylor8732@example.com,2026-04-28,2026-04-28T07:56:33Z,shipped,USD,2319.99
ORD-106557,François Johnson,françois.johnson5917@shop.example,15 Sep 2025,2025-09-15T03:40:51Z,completed,USD,465.73
ORD-101948,Barbara Smith,barbara.smith2216@example.com,27 Dec 2025,2025-12-27T08:44:05Z,completed,USD,2062.65
ORD-105253,Thomas King,thomas.king7404@acme.test,2025-11-06,2025-11-06T06:28:10Z,refunded,USD,334.46
ORD-102736,美玲 Johnson,美玲.johnson2734@shop.example,2025-08-05,2025-08-05T07:42:22Z,completed,USD,"$1,212.74"
ORD-101925,Lisa Lee,lisa.lee1725@mail.test,2026-06-29,2026-06-29T08:46:46Z,pending,USD,774.78
ORD-106782,Anthony Johnson,anthony.johnson1329@acme.test,27 May 2026,2026-05-27T13:13:15Z,completed,USD,211.40
ORD-104109,Søren Brown,soren.brown9441@acme.test,03/26/2026,2026-03-26T19:19:28Z,pending,USD,$645.78
ORD-107333,Sarah 陳,sarah.陳9848@shop.example,06/29/2026,2026-06-29T15:06:30Z,refunded,EUR,"2,195.74"
ORD-102588,Nancy Thomas,naNcY.tHoMAS843@SHoP.EXamplE,07/03/2025,2025-07-03T22:15:05Z,completed,USD,"$1,740.10"
ORD-104671,Chris Walker,ChRiS.walKer9844@acme.test,26 Jul 2025,2025-07-26T22:10:18Z,completed,USD,"1,342.63"
ORD-102758,Anthony Češka,anthony.češka9183@mail.test,01 Sep 2025,2025-09-01T04:49:41Z,completed,USD,"$2,330.35"
ORD-108149,Søren Češka,soren.češka5757@example.com,2025-07-14,2025-07-14T06:09:35Z,shipped,USD,1764.91
ORD-107052,Lisa Williams,lisa.williams8041@acme.test,27 Aug 2025,2025-08-27T18:29:56Z,completed,USD,2181.87
ORD-104494,Mónica Nováková,MOniCA.novakoVA5388@ACme.TeSt,05/08/2026,2026-05-08T14:38:59Z,completed,USD,$505.20
ORD-103273,David Češka,david.češka9111@example.com,2025-11-19,2025-11-19T09:35:02Z,shipped,USD,189.11
ORD-102338,Karen Anderson,karen.anderson2764@example.com,04/20/2026,2026-04-20T18:12:11Z,completed,USD,$811.49
ORD-109349,Nguyễn Lewis,nguyễn.lewis5231@mail.test,12 Jun 2026,2026-06-12T00:52:53Z,refunded,USD,-162.64
ORD-108832,Zoë Rodriguez,zoe.rodriguez2191@example.com,2025-09-20,2025-09-20T15:49:11Z,shipped,USD,896.63
ORD-102880,Sarah Clark,sarah.clark2111@acme.test,07/31/2025,2025-07-31T20:42:29Z,completed,USD,"1,218.93"
ORD-107248,Michael Harris,michael.harris32@acme.test,2026-01-08,2026-01-08T03:51:34Z,shipped,USD,1696.57
ORD-109005,Élodie Clark,elodie.clark878@example.com,2026-01-31,2026-01-31T10:16:35Z,completed,USD,$171.17
ORD-105329,Søren Clark,soren.clark5153@example.com,05 Nov 2025,2025-11-05T21:44:30Z,completed,USD,"$2,076.42"
ORD-105492,Daniel White,daniel.white9213@shop.example,07 Apr 2026,2026-04-07T17:41:38Z,shipped,USD,$172.23
ORD-105064,Nancy Håkonsen,nancy.hakonsen4466@shop.example,04/13/2026,2026-04-13T20:07:43Z,shipped,EUR,"1,045.50"
ORD-109670,美玲 Young,美玲.Young9139@exAmpLE.cOm,05/13/2026,2026-05-13T04:13:09Z,pending,USD,180.33
ORD-104591,Michael Harris,michael.harris192@example.com,02/09/2026,2026-02-09T06:14:38Z,completed,USD,272.31
ORD-103817,Daniel Thompson,DaNiEl.THOmPSon4989@AcMe.TesT,02/04/2026,2026-02-04T11:58:04Z,completed,EUR,1224.48
ORD-109233,Sarah Garcia,sarah.garcia6338@acme.test,14 Jun 2026,2026-06-14T23:00:26Z,shipped,EUR,1893.88
ORD-108886,Susan Williams,susan.williams2880@mail.test,16 Sep 2025,2025-09-16T13:31:15Z,shipped,USD,"1,449.74"
ORD-107782,Daniel King,daniel.king5913@mail.test,27 Oct 2025,2025-10-27T09:32:55Z,completed,EUR,"2,340.65"
ORD-109107,Betty Williams,betty.williams8475@mail.test,08/27/2025,2025-08-27T23:15:39Z,shipped,EUR,"1,127.07"
ORD-107620,Susan Moore,susan.moore4384@acme.test,29 Dec 2025,2025-12-29T10:57:28Z,completed,USD,$24.62
ORD-109390,Linda Miller,lIndA.mIller34@mAIl.TeSt,09 Jun 2026,2026-06-09T23:57:13Z,shipped,USD,"$1,161.73"
ORD-106687,Anthony García,anthony.garcia9527@mail.test,13 Apr 2026,2026-04-13T22:26:58Z,shipped,USD,"$2,426.02"
ORD-108860,James Wilson,james.wilson9161@acme.test,2025-11-21,2025-11-21T22:23:29Z,shipped,USD,"1,554.38"
ORD-103339,Joseph Nováková,joseph.novakova3052@mail.test,10/15/2025,2025-10-15T04:57:50Z,completed,USD,272.40
ORD-103110,Mark Martin,mark.martin7150@example.com,2025-10-27,2025-10-27T00:09:12Z,shipped,USD,$501.17
ORD-106541,Mónica Harris,monica.harris4069@acme.test,02/28/2026,2026-02-28T04:36:16Z,completed,USD,$512.97
ORD-102018,Björn Moore,Bjorn.moORe1469@maiL.tEst,2025-08-05,2025-08-05T12:06:22Z,cancelled,USD,"2,085.78"
ORD-103466,Anthony Thomas,anthony.thomas4220@mail.test,11/03/2025,2025-11-03T11:00:46Z,pending,USD,$125.29
ORD-104030,Łukasz Moore,łukasz.moore3428@example.com,2025-09-20,2025-09-20T16:14:48Z,cancelled,USD,943.20
ORD-106725,Elizabeth Davis,elizabeth.davis6558@mail.test,22 Feb 2026,2026-02-22T03:53:30Z,shipped,EUR,"2,163.98"
ORD-106698,Daniel Håkonsen,daniel.hakonsen5407@example.com,2025-09-01,2025-09-01T15:08:05Z,completed,USD,487.06
ORD-106568,Sandra Thomas,sandra.thomas3377@mail.test,08 May 2026,2026-05-08T14:01:54Z,completed,USD,"1,159.57"
ORD-102279,Matthew Rodriguez,matthew.rodriguez8668@mail.test,2026-01-16,2026-01-16T13:44:08Z,completed,USD,"1,250.66"
ORD-102527,Anthony Young,anthony.young7136@acme.test,15 Jan 2026,2026-01-15T14:07:38Z,cancelled,EUR,826.68
ORD-101875,Thomas Harris,thomas.harris9823@shop.example,05/05/2026,2026-05-05T03:32:37Z,completed,USD,133.84
ORD-107511,Patricia Young,patricia.young488@acme.test,2026-05-02,2026-05-02T21:43:43Z,completed,USD,2001.74
ORD-108086,Joseph Rodriguez,joseph.rodriguez9637@mail.test,06/20/2026,2026-06-20T20:26:57Z,shipped,EUR,685.73
ORD-100157,Björn Harris,bjorn.harris9788@acme.test,2025-09-09,2025-09-09T19:40:37Z,refunded,USD,-1194.38
ORD-107933,Élodie Smith,elodie.smith808@shop.example,12/03/2025,2025-12-03T03:02:35Z,completed,USD,1580.90
ORD-108838,François Martinez,françois.martinez4481@acme.test,2025-10-16,2025-10-16T22:26:44Z,refunded,USD,-$407.03
ORD-104556,Richard Garcia,richard.garcia7540@acme.test,05 May 2026,2026-05-05T13:09:48Z,completed,EUR,226.13
ORD-105224,Susan Nováková,susan.novakova7926@acme.test,12/09/2025,2025-12-09T16:14:39Z,refunded,EUR,2042.37
ORD-103664,Zoë Brown,zoe.brown9224@shop.example,2025-09-25,2025-09-25T09:19:52Z,shipped,USD,$306.41
ORD-101237,美玲 陳,美玲.陳4772@acme.test,02/07/2026,2026-02-07T03:16:41Z,completed,USD,"$1,070.17"
ORD-104935,Björn García,bjorn.garcia1381@acme.test,2025-07-06,2025-07-06T07:34:18Z,pending,USD,673.51
ORD-100476,Joseph Martin,joseph.martin6358@acme.test,2025-11-18,2025-11-18T02:36:52Z,completed,USD,834.43
ORD-105862,Daniel Smith,daniel.smith3871@acme.test,03/27/2026,2026-03-27T23:13:56Z,shipped,USD,"1,678.95"
ORD-106675,Chris García,chris.garcia4197@acme.test,2025-07-03,2025-07-03T16:34:05Z,completed,USD,"$2,158.83"
ORD-105619,José Anderson,jose.anderson6727@mail.test,2026-05-24,2026-05-24T06:50:22Z,shipped,USD,$600.68
ORD-102153,David Thompson,david.thompson4538@acme.test,05/17/2026,2026-05-17T09:57:18Z,pending,USD,1359.50
ORD-104031,Betty Williams,betty.williams3084@shop.example,20 Oct 2025,2025-10-20T11:08:47Z,completed,USD,"2,198.31"
ORD-101883,Daniel Jones,daniel.jones455@acme.test,05/16/2026,2026-05-16T09:25:08Z,completed,USD,1863.97
ORD-102253,Mary 陳,mary.陳9145@mail.test,12/17/2025,2025-12-17T05:45:07Z,shipped,USD,1167.97
ORD-100473,Richard Harris,richard.harris1573@example.com,03/15/2026,2026-03-15T15:02:18Z,completed,USD,"1,415.26"
ORD-102088,Anthony Jones,anthony.jones4247@shop.example,05/25/2026,2026-05-25T05:02:27Z,shipped,EUR,1758.27
ORD-103361,José Taylor,jose.taylor8423@acme.test,06/05/2026,2026-06-05T13:19:19Z,completed,USD,"$2,467.69"
ORD-104899,John Håkonsen,john.hakonsen5258@shop.example,07/15/2025,2025-07-15T04:20:46Z,pending,USD,793.11
ORD-108764,Joseph Davis,joseph.davis3097@mail.test,2026-02-10,2026-02-10T03:13:23Z,shipped,USD,"$1,664.03"
ORD-100902,Richard Clark,richard.clark4960@shop.example,02 Dec 2025,2025-12-02T17:12:21Z,pending,USD,"2,221.29"
ORD-104478,Renée Lee,renee.lee4707@shop.example,10/21/2025,2025-10-21T04:38:31Z,completed,USD,386.36
ORD-102180,Zoë Davis,zoe.davis4357@acme.test,29 Jun 2026,2026-06-29T14:08:54Z,refunded,EUR,1118.63
ORD-101882,Elizabeth Thompson,elizabeth.thompson7405@mail.test,2025-09-28,2025-09-28T05:07:11Z,completed,USD,1824.14
ORD-108032,健太 Jackson,健太.jackson6622@shop.example,22 Aug 2025,2025-08-22T11:06:01Z,completed,USD,"$1,332.08"
ORD-105572,Sandra Moore,sandra.moore3941@mail.test,28 Dec 2025,2025-12-28T03:57:41Z,shipped,USD,$41.56
ORD-101575,Zoë King,zoe.king6950@acme.test,2026-04-12,2026-04-12T11:24:01Z,completed,USD,$604.14
ORD-103197,Sarah Garcia,sarah.garcia296@acme.test,03/22/2026,2026-03-22T11:15:23Z,completed,USD,1621.91
ORD-109246,Chris Allen,chris.allen843@mail.test,2026-04-12,2026-04-12T04:58:06Z,shipped,USD,"1,661.27"
ORD-102930,Susan Nováková,susan.novakova6109@shop.example,04/11/2026,2026-04-11T01:33:45Z,pending,USD,326.54
ORD-106781,Zoë Jones,zoe.jones1852@acme.test,04/25/2026,2026-04-25T07:17:23Z,cancelled,USD,1709.72
ORD-105345,Anthony Thomas,anthony.thomas9707@example.com,01 Sep 2025,2025-09-01T16:31:06Z,completed,USD,1660.18
ORD-107188,Susan Martinez,susan.martinez3054@example.com,08 Aug 2025,2025-08-08T01:51:34Z,completed,USD,1123.78
ORD-108574,Élodie Håkonsen,elodie.hakonsen916@acme.test,2025-10-22,2025-10-22T14:55:18Z,completed,USD,2400.77
ORD-102756,美玲 Öztürk,美玲.ozturk7985@acme.test,04 Feb 2026,2026-02-04T00:22:08Z,completed,USD,912.69
ORD-104364,Søren Lewis,soren.lewis2606@shop.example,18 Oct 2025,2025-10-18T21:13:46Z,shipped,USD,640.27
ORD-101052,William Češka,william.češka7704@shop.example,01/05/2026,2026-01-05T05:30:47Z,completed,USD,2053.38
ORD-109601,Elizabeth Öztürk,elizabeth.ozturk659@example.com,2025-09-18,2025-09-18T17:23:23Z,completed,USD,674.44
ORD-100557,José Taylor,jose.taylor6190@example.com,05/25/2026,2026-05-25T11:51:57Z,completed,EUR,"2,360.79"
ORD-102029,José Nováková,jose.novakova3029@shop.example,19 Jan 2026,2026-01-19T06:37:20Z,completed,USD,2131.52
ORD-106596,Joseph 陳,joseph.陳1844@example.com,2026-06-20,2026-06-20T17:06:44Z,completed,USD,$13.56
ORD-108353,Zoë Lee,ZOE.LEe8258@AcME.TesT,2025-10-10,2025-10-10T04:49:53Z,completed,USD,435.61
ORD-107480,Patricia Martin,patricia.martin6269@acme.test,08/05/2025,2025-08-05T08:57:59Z,completed,USD,80.88
ORD-107832,William Öztürk,william.ozturk6612@acme.test,2026-03-12,2026-03-12T10:47:04Z,pending,USD,"1,359.85"
ORD-104684,Thomas Johnson,tHomAs.joHNSon8817@mAiL.teSt,27 Jul 2025,2025-07-27T19:19:21Z,pending,USD,733.31
ORD-106973,Nancy Garcia,nancy.garcia295@example.com,04/06/2026,2026-04-06T19:36:48Z,completed,USD,805.04
ORD-103453,美玲 García,美玲.garcia4374@mail.test,07/12/2025,2025-07-12T16:51:24Z,refunded,USD,1234.38
ORD-109586,David Jackson,david.jackson411@shop.example,24 Nov 2025,2025-11-24T12:32:02Z,completed,USD,"2,440.83"
ORD-103439,Karen King,karen.king1607@shop.example,2026-03-03,2026-03-03T03:33:42Z,completed,USD,315.25
ORD-106021,Susan Håkonsen,susan.hakonsen7538@mail.test,02/08/2026,2026-02-08T05:23:21Z,pending,USD,"$1,469.07"
ORD-107867,Richard Lee,richard.lee5893@example.com,07/21/2025,2025-07-21T22:29:40Z,completed,USD,"1,745.23"
ORD-109713,Jennifer Martinez,jennifer.martinez4269@example.com,2025-10-03,2025-10-03T10:14:39Z,completed,USD,1065.81
ORD-103720,François Walker,françois.walker7316@shop.example,2026-05-29,2026-05-29T22:26:36Z,completed,EUR,"1,974.85"
ORD-101608,Søren Anderson,soren.anderson2187@example.com,2026-06-21,2026-06-21T04:03:00Z,completed,USD,1784.27
ORD-105530,Michael Miller,michael.miller2498@mail.test,28 Mar 2026,2026-03-28T05:01:36Z,completed,USD,"1,012.08"
ORD-108780,Matthew Thomas,matthew.thomas4292@acme.test,05/15/2026,2026-05-15T05:30:32Z,pending,USD,"$2,125.15"
ORD-104006,Patricia Anderson,patricia.anderson2505@shop.example,2025-09-30,2025-09-30T02:27:22Z,refunded,USD,"1,505.08"
ORD-104751,Élodie Brown,elodie.brown9067@shop.example,22 Oct 2025,2025-10-22T07:55:01Z,cancelled,USD,1675.55
